id,대분류코드,대분류명,항목,파일명,검색키워드,보유확장자,링크
325,04_T데스크,T데스크,AD3_X배너,AD3_X배너_CMYK,"T데스크, X배너",AI(1),https://drive.google.com/drive/folders/1FlCdXyG71_i9eCDBAhETEr8q6lhkwuY5?usp=sharing
326,04_T데스크,T데스크,AD4_차량(일반승용차),AD4_차량(일반승용차)_PANTONE,"T데스크, 일반승용차, 차량",AI(1),https://drive.google.com/drive/folders/12ECCR5hGmmOnBIDyn0KsK-vd4gOHT2Jb?usp=sharing
327,04_T데스크,T데스크,AD4_차량(일반승용차),AD4_차량(일반승용차)_CMYK,"T데스크, 일반승용차, 차량",AI(1),https://drive.google.com/drive/folders/12ECCR5hGmmOnBIDyn0KsK-vd4gOHT2Jb?usp=sharing
328,04_T데스크,T데스크,AD5_차량(미니밴),AD5_차량(미니밴)_PANTONE,"T데스크, 미니밴, 차량",AI(1),https://drive.google.com/drive/folders/1QVuYAC4CvoKPZL8Kxs_BxK5p7UfS3BwY?usp=sharing
329,04_T데스크,T데스크,AD5_차량(미니밴),AD5_차량(미니밴)_CMYK,"T데스크, 미니밴, 차량",AI(1),https://drive.google.com/drive/folders/1QVuYAC4CvoKPZL8Kxs_BxK5p7UfS3BwY?usp=sharing
330,04_T데스크,T데스크,AD6_차량(버스),AD6_차량(버스)_PANTONE,"T데스크, 버스, 차량",AI(1),https://drive.google.com/drive/folders/1NkpoSq4lMqukqEyF_tA2EorhrRN28gpu?usp=sharing
331,04_T데스크,T데스크,AD6_차량(버스),AD6_차량(버스)_CMYK,"T데스크, 버스, 차량",AI(1),https://drive.google.com/drive/folders/1NkpoSq4lMqukqEyF_tA2EorhrRN28gpu?usp=sharing
332,04_T데스크,T데스크,AD7_차량(대형버스),AD7_차량(대형버스)_PANTONE,"T데스크, 대형버스, 차량",AI(1),https://drive.google.com/drive/folders/1D_u73zNr4Rjg3IpBKtOI7-U93ab_vqXG?usp=sharing
333,04_T데스크,T데스크,AD7_차량(대형버스),AD7_차량(대형버스)_CMYK,"T데스크, 대형버스, 차량",AI(1),https://drive.google.com/drive/folders/1D_u73zNr4Rjg3IpBKtOI7-U93ab_vqXG?usp=sharing
334,04_T데스크,T데스크,SS1_티데스크설치물로고,SS1_티데스크설치물로고_PANTONE,"T데스크, 티데스크설치물로고",AI(1),https://drive.google.com/drive/folders/1j5zGQXT1uoZFfOWB4Zgu13zhQmegEmtR?usp=sharing
335,04_T데스크,T데스크,SS2_현판사인,SS2_현판사인_PANTONE,"T데스크, 현판사인",AI(3),https://drive.google.com/drive/folders/1wifgzS_SKOYHFnX7tLBV6tq2ByLIsWjd?usp=sharing
336,04_T데스크,T데스크,SS3_입구간판,SS3_입구간판_PANTONE,"T데스크, 입구간판",AI(1),https://drive.google.com/drive/folders/19QtWKPt067vasVdjNiIOzdPIpPAaRNGk?usp=sharing
337,04_T데스크,T데스크,SS4_윈도우그래픽,SS4_윈도우그래픽_PANTONE,"T데스크, 윈도우그래픽",AI(1),https://drive.google.com/drive/folders/1Ubcwy-LX_ngrY6E3OCqbenPUoaz1Zs40?usp=sharing
338,01_하나팩프리미엄,하나팩프리미엄,BS1_로고,BS1_로고_PANTONE,"로고, 하나팩프리미엄","AI(1), PNG(9)",https://drive.google.com/drive/folders/1GOOU6b2emM0nW7MTcEBPwU5-xbJgYq6N?usp=sharing
339,01_하나팩프리미엄,하나팩프리미엄,BS1_로고,BS1_로고_CMYK,"로고, 하나팩프리미엄","AI(1), PNG(9)",https://drive.google.com/drive/folders/1GOOU6b2emM0nW7MTcEBPwU5-xbJgYq6N?usp=sharing
340,01_하나팩프리미엄,하나팩프리미엄,BS1_로고,BS1_로고_RGB,"로고, 하나팩프리미엄","AI(1), PNG(9)",https://drive.google.com/drive/folders/1GOOU6b2emM0nW7MTcEBPwU5-xbJgYq6N?usp=sharing
341,01_하나팩프리미엄,하나팩프리미엄,AS1_사원증,AS1_사원증_PANTONE,"사원증, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1Q7EMexU5qVr-OsZ4cYm9kUm-zwzhaVif?usp=sharing
342,01_하나팩프리미엄,하나팩프리미엄,AS1_사원증,AS1_사원증_CMYK,"사원증, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1Q7EMexU5qVr-OsZ4cYm9kUm-zwzhaVif?usp=sharing
343,01_하나팩프리미엄,하나팩프리미엄,AS2_미팅보드,AS2_미팅보드_PANTONE,"미팅보드, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/12xynChNeM3C-55wh_VexCmk0A_JlDknb?usp=sharing
344,01_하나팩프리미엄,하나팩프리미엄,AS2_미팅보드,AS2_미팅보드_CMYK,"미팅보드, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/12xynChNeM3C-55wh_VexCmk0A_JlDknb?usp=sharing
345,01_하나팩프리미엄,하나팩프리미엄,AS3_미니X배너,AS3_미니X배너_PANTONE,"미니X배너, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1f_zLAoJaRFEV-Kuc5SxWJ47yALWMgQWu?usp=sharing
346,01_하나팩프리미엄,하나팩프리미엄,AS3_미니X배너,AS3_미니X배너_CMYK,"미니X배너, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1f_zLAoJaRFEV-Kuc5SxWJ47yALWMgQWu?usp=sharing
347,01_하나팩프리미엄,하나팩프리미엄,AS4_유니폼(하계),AS4_유니폼(하계)_PANTONE,"유니폼, 하계, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1mW7yXc8nCENb1kzYbOLKHRp6S-1HkSJJ?usp=sharing
348,01_하나팩프리미엄,하나팩프리미엄,AS4_유니폼(하계),AS4_유니폼(하계)_CMYK,"유니폼, 하계, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1mW7yXc8nCENb1kzYbOLKHRp6S-1HkSJJ?usp=sharing
349,01_하나팩프리미엄,하나팩프리미엄,AS5_유니폼(동계),AS5_유니폼(동계)_PANTONE,"동계, 유니폼, 하나팩프리미엄",AI(1),https://drive.google.com/drive/folders/1yh88F4GxMmMCC42JU6KIiymN46wZrsPv?usp=sharing
